document_id,path,type,source_bucket,topic_tags,ingestion_status
SRC0001,Источники информации/Доклады/Доклад_Вострикова Н.М.pdf,pdf,Доклады,background,candidate
SRC0002,Источники информации/Доклады/Доклад_Вязовой О.Н.pdf,pdf,Доклады,background,candidate
SRC0003,Источники информации/Доклады/Доклад_Луканина М.А.pdf,pdf,Доклады,background,candidate
SRC0004,Источники информации/Доклады/Доклад_Новожилова О.С.pdf,pdf,Доклады,background,candidate
SRC0005,Источники информации/Доклады/Доклад_Румянцев А.Е.pdf,pdf,Доклады,background,candidate
SRC0006,Источники информации/Доклады/Доклад_Федосеев А.В.pdf,pdf,Доклады,background,candidate
SRC0007,Источники информации/Доклады/НДС Комсомольский.pdf,pdf,Доклады,geomechanics,candidate
SRC0008,Источники информации/Доклады/Переработка рудных образований океана - Цымбулов Л.Б. Институт Гипроникель-16-06-2024.pptx,pptx,Доклады,background,candidate
SRC0009,Источники информации/Доклады/Преза Рудник 2025.pptx,pptx,Доклады,background,candidate
SRC0010,Источники информации/Доклады/Презентация Измерение НДС Техсовет.pdf,pdf,Доклады,geomechanics,candidate
SRC0011,Источники информации/Доклады/Презентация Тяпкина ПА.pptx,pptx,Доклады,background,candidate
SRC0012,Источники информации/Доклады/Презентация для  научного совета.pptx,pptx,Доклады,background,candidate
SRC0013,Источники информации/Доклады/Прогнозирование_участков_концентрации_напряжений_в_массиве_горных.pptx,pptx,Доклады,geomechanics,candidate
SRC0014,"Источники информации/Доклады/Техсовет по геомеханике,презентация Кулагин А.Д. рудоспуски.pdf",pdf,Доклады,orepasses,candidate
SRC0015,Источники информации/Доклады/Трофимов А.В. Опыт создания блочных геомеханических моделей в ГГИС.pdf,pdf,Доклады,background,candidate
SRC0016,Источники информации/Доклады/Тяпкина ПА_Пермь_Зимняя школа.pdf,pdf,Доклады,background,candidate
SRC0017,Источники информации/Журналы/Горная промышленность/2024/ГП № 1-2024.pdf,pdf,Журналы,background,candidate
SRC0018,Источники информации/Журналы/Горная промышленность/2024/ГП № 2-2024.pdf,pdf,Журналы,background,candidate
SRC0019,Источники информации/Журналы/Горная промышленность/2024/ГП № 3-2024.pdf,pdf,Журналы,background,candidate
SRC0020,Источники информации/Журналы/Горная промышленность/2024/ГП № 4-2024.pdf,pdf,Журналы,background,candidate
SRC0021,Источники информации/Журналы/Горная промышленность/2024/ГП № 5-2024.pdf,pdf,Журналы,background,candidate
SRC0022,Источники информации/Журналы/Горная промышленность/2024/ГП № 6-2024.pdf,pdf,Журналы,background,candidate
SRC0023,Источники информации/Журналы/Горная промышленность/2025/ГП № 1-2025.pdf,pdf,Журналы,background,candidate
SRC0024,Источники информации/Журналы/Горная промышленность/2025/ГП № 2-2025.pdf,pdf,Журналы,background,candidate
SRC0025,Источники информации/Журналы/Горная промышленность/2025/ГП № 3-2025.pdf,pdf,Журналы,background,candidate
SRC0026,Источники информации/Журналы/Горная промышленность/2025/ГП № 4-2025.pdf,pdf,Журналы,background,candidate
SRC0027,Источники информации/Журналы/Горная промышленность/2025/ГП № 5-2025.pdf,pdf,Журналы,background,candidate
SRC0028,Источники информации/Журналы/Горная промышленность/2025/ГП № 6-2025.pdf,pdf,Журналы,background,candidate
SRC0029,Источники информации/Журналы/Горная промышленность/2026/ГП № 2_2026_d.pdf,pdf,Журналы,background,candidate
SRC0030,Источники информации/Журналы/Горная промышленность/2026/ГП №1_2026_d.pdf,pdf,Журналы,background,candidate
SRC0031,Источники информации/Журналы/Горный журнал/2024/№ 01_24.pdf,pdf,Журналы,journal,candidate
SRC0032,Источники информации/Журналы/Горный журнал/2024/№ 02_24.pdf,pdf,Журналы,journal,candidate
SRC0033,Источники информации/Журналы/Горный журнал/2024/№ 03_24.pdf,pdf,Журналы,journal,candidate
SRC0034,Источники информации/Журналы/Горный журнал/2024/№ 04_24.pdf,pdf,Журналы,journal,candidate
SRC0035,Источники информации/Журналы/Горный журнал/2024/№ 05_24.pdf,pdf,Журналы,journal,candidate
SRC0036,Источники информации/Журналы/Горный журнал/2024/№ 06_24.pdf,pdf,Журналы,journal,candidate
SRC0037,Источники информации/Журналы/Горный журнал/2024/№ 07_24.pdf,pdf,Журналы,journal,candidate
SRC0038,Источники информации/Журналы/Горный журнал/2024/№ 08_24.pdf,pdf,Журналы,journal,candidate
SRC0039,Источники информации/Журналы/Горный журнал/2024/№ 09_24.pdf,pdf,Журналы,journal,candidate
SRC0040,Источники информации/Журналы/Горный журнал/2024/№ 10_24.pdf,pdf,Журналы,journal,candidate
SRC0041,Источники информации/Журналы/Горный журнал/2024/№ 11_24.pdf,pdf,Журналы,journal,candidate
SRC0042,Источники информации/Журналы/Горный журнал/2024/№ 12_24.pdf,pdf,Журналы,journal,candidate
SRC0043,Источники информации/Журналы/Горный журнал/2025/ГЖ_01_25.pdf,pdf,Журналы,journal,candidate
SRC0044,Источники информации/Журналы/Горный журнал/2025/ГЖ_02_25.pdf,pdf,Журналы,journal,candidate
SRC0045,Источники информации/Журналы/Горный журнал/2025/ГЖ_03_25.pdf,pdf,Журналы,journal,candidate
SRC0046,Источники информации/Журналы/Горный журнал/2025/ГЖ_04_25.pdf,pdf,Журналы,journal,candidate
SRC0047,Источники информации/Журналы/Горный журнал/2025/ГЖ_05_25.pdf,pdf,Журналы,journal,candidate
SRC0048,Источники информации/Журналы/Горный журнал/2025/ГЖ_06_25.pdf,pdf,Журналы,journal,candidate
SRC0049,Источники информации/Журналы/Горный журнал/2025/ГЖ_07_25.pdf,pdf,Журналы,journal,candidate
SRC0050,Источники информации/Журналы/Горный журнал/2025/ГЖ_08_25.pdf,pdf,Журналы,journal,candidate
SRC0051,Источники информации/Журналы/Горный журнал/2025/ГЖ_09_25.pdf,pdf,Журналы,journal,candidate
SRC0052,Источники информации/Журналы/Горный журнал/2025/ГЖ_10_25.pdf,pdf,Журналы,journal,candidate
SRC0053,Источники информации/Журналы/Горный журнал/2025/ГЖ_11_25.pdf,pdf,Журналы,journal,candidate
SRC0054,Источники информации/Журналы/Горный журнал/2025/ГЖ_12_25.pdf,pdf,Журналы,journal,candidate
SRC0055,Источники информации/Журналы/Горный журнал/2026/Гж 01_26.pdf,pdf,Журналы,journal,candidate
SRC0056,Источники информации/Журналы/Горный журнал/2026/Гж 02_26.pdf,pdf,Журналы,journal,candidate
SRC0057,Источники информации/Журналы/Горный журнал/2026/Гж 03_26.pdf,pdf,Журналы,journal,candidate
SRC0058,Источники информации/Журналы/Горный журнал/2026/Гж 04_26.pdf,pdf,Журналы,journal,candidate
SRC0059,Источники информации/Журналы/Обогащение руд/2018/ОР 01_18.pdf,pdf,Журналы,processing,candidate
SRC0060,Источники информации/Журналы/Обогащение руд/2018/ОР 02_18.pdf,pdf,Журналы,processing,candidate
SRC0061,Источники информации/Журналы/Обогащение руд/2018/ОР 03_18.pdf,pdf,Журналы,processing,candidate
SRC0062,Источники информации/Журналы/Обогащение руд/2018/ОР 04_18.pdf,pdf,Журналы,processing,candidate
SRC0063,Источники информации/Журналы/Обогащение руд/2018/ОР 05_18.pdf,pdf,Журналы,processing,candidate
SRC0064,Источники информации/Журналы/Обогащение руд/2018/ОР 06_18.pdf,pdf,Журналы,processing,candidate
SRC0065,Источники информации/Журналы/Обогащение руд/2019/OР 02_19.pdf,pdf,Журналы,processing,candidate
SRC0066,Источники информации/Журналы/Обогащение руд/2019/OР 06_19.pdf,pdf,Журналы,processing,candidate
SRC0067,Источники информации/Журналы/Обогащение руд/2019/ОР 01_19.pdf,pdf,Журналы,processing,candidate
SRC0068,Источники информации/Журналы/Обогащение руд/2019/ОР 03_19.pdf,pdf,Журналы,processing,candidate
SRC0069,Источники информации/Журналы/Обогащение руд/2019/ОР 04_19.pdf,pdf,Журналы,processing,candidate
SRC0070,Источники информации/Журналы/Обогащение руд/2019/ОР 05_19.pdf,pdf,Журналы,processing,candidate
SRC0071,Источники информации/Журналы/Обогащение руд/2020/OР 02_20.pdf,pdf,Журналы,processing,candidate
SRC0072,Источники информации/Журналы/Обогащение руд/2020/ОР 01_20.pdf,pdf,Журналы,processing,candidate
SRC0073,Источники информации/Журналы/Обогащение руд/2020/ОР 03_20.pdf,pdf,Журналы,processing,candidate
SRC0074,Источники информации/Журналы/Обогащение руд/2020/ОР 04_20.pdf,pdf,Журналы,processing,candidate
SRC0075,Источники информации/Журналы/Обогащение руд/2020/ОР 05_20.pdf,pdf,Журналы,processing,candidate
SRC0076,Источники информации/Журналы/Обогащение руд/2020/ОР 06_20.pdf,pdf,Журналы,processing,candidate
SRC0077,Источники информации/Журналы/Обогащение руд/2021/ОР №1-2021.pdf,pdf,Журналы,processing,candidate
SRC0078,Источники информации/Журналы/Обогащение руд/2021/ОР №2-2021.pdf,pdf,Журналы,processing,candidate
SRC0079,Источники информации/Журналы/Обогащение руд/2021/ОР №3-2021.pdf,pdf,Журналы,processing,candidate
SRC0080,Источники информации/Журналы/Обогащение руд/2021/ОР №4-2021.pdf,pdf,Журналы,processing,candidate
SRC0081,Источники информации/Журналы/Обогащение руд/2021/ОР №5-2021.pdf,pdf,Журналы,processing,candidate
SRC0082,Источники информации/Журналы/Обогащение руд/2021/ОР №6-2021.pdf,pdf,Журналы,processing,candidate
SRC0083,Источники информации/Журналы/Обогащение руд/2022/ОР № 01_22.pdf,pdf,Журналы,processing,candidate
SRC0084,Источники информации/Журналы/Обогащение руд/2022/ОР № 02_22.pdf,pdf,Журналы,processing,candidate
SRC0085,Источники информации/Журналы/Обогащение руд/2022/ОР № 03_22.pdf,pdf,Журналы,processing,candidate
SRC0086,Источники информации/Журналы/Обогащение руд/2022/ОР № 04_22.pdf,pdf,Журналы,processing,candidate
SRC0087,Источники информации/Журналы/Обогащение руд/2022/ОР № 05_22.pdf,pdf,Журналы,processing,candidate
SRC0088,Источники информации/Журналы/Обогащение руд/2022/ОР № 06_22.pdf,pdf,Журналы,processing,candidate
SRC0089,Источники информации/Журналы/Обогащение руд/2023/ОР № 01-23.pdf,pdf,Журналы,processing,candidate
SRC0090,Источники информации/Журналы/Обогащение руд/2023/ОР № 02-23.pdf,pdf,Журналы,processing,candidate
SRC0091,Источники информации/Журналы/Обогащение руд/2023/ОР № 03-23.pdf,pdf,Журналы,processing,candidate
SRC0092,Источники информации/Журналы/Обогащение руд/2023/ОР № 04-23.pdf,pdf,Журналы,processing,candidate
SRC0093,Источники информации/Журналы/Обогащение руд/2023/ОР № 05-23.pdf,pdf,Журналы,processing,candidate
SRC0094,Источники информации/Журналы/Обогащение руд/2023/ОР № 06-23.pdf,pdf,Журналы,processing,candidate
SRC0095,Источники информации/Журналы/Обогащение руд/2024/ОР № 1-24.pdf,pdf,Журналы,processing,candidate
SRC0096,Источники информации/Журналы/Обогащение руд/2024/ОР № 2-24.pdf,pdf,Журналы,processing,candidate
SRC0097,Источники информации/Журналы/Обогащение руд/2024/ОР № 3-24.pdf,pdf,Журналы,processing,candidate
SRC0098,Источники информации/Журналы/Обогащение руд/2024/ОР № 4-24.pdf,pdf,Журналы,processing,candidate
SRC0099,Источники информации/Журналы/Обогащение руд/2024/ОР № 5-24.pdf,pdf,Журналы,processing,candidate
SRC0100,Источники информации/Журналы/Обогащение руд/2024/ОР № 6-24.pdf,pdf,Журналы,processing,candidate
SRC0101,Источники информации/Журналы/Обогащение руд/2025/ОР 01_25.pdf,pdf,Журналы,processing,candidate
SRC0102,Источники информации/Журналы/Обогащение руд/2025/ОР 02_25.pdf,pdf,Журналы,processing,candidate
SRC0103,Источники информации/Журналы/Обогащение руд/2025/ОР 03_25.pdf,pdf,Журналы,processing,candidate
SRC0104,Источники информации/Журналы/Обогащение руд/2025/ОР 04_25.pdf,pdf,Журналы,processing,candidate
SRC0105,Источники информации/Журналы/Обогащение руд/2025/ОР 05_25.pdf,pdf,Журналы,processing,candidate
SRC0106,Источники информации/Журналы/Обогащение руд/2025/ОР 06_25.pdf,pdf,Журналы,processing,candidate
SRC0107,Источники информации/Журналы/Обогащение руд/2026/ОР 01_26.pdf,pdf,Журналы,processing,candidate
SRC0108,Источники информации/Журналы/Обогащение руд/2026/ОР 02_26.pdf,pdf,Журналы,processing,candidate
SRC0109,Источники информации/Журналы/Цветные металлы/2003-2/05_2003_cm-sp.pdf,pdf,Журналы,background,candidate
SRC0110,Источники информации/Журналы/Цветные металлы/2003-2/06_2003_cm-sp.pdf,pdf,Журналы,background,candidate
SRC0111,Источники информации/Журналы/Цветные металлы/2003-2/2003_CM-MJ-sp.pdf,pdf,Журналы,background,candidate
SRC0112,Источники информации/Журналы/Цветные металлы/2003/01_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0113,Источники информации/Журналы/Цветные металлы/2003/02_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0114,Источники информации/Журналы/Цветные металлы/2003/03_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0115,Источники информации/Журналы/Цветные металлы/2003/04_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0116,Источники информации/Журналы/Цветные металлы/2003/05_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0117,Источники информации/Журналы/Цветные металлы/2003/06_2003_cm-поведение цветных металлов привосс..pdf,pdf,Журналы,background,candidate
SRC0118,Источники информации/Журналы/Цветные металлы/2003/07_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0119,Источники информации/Журналы/Цветные металлы/2003/08-09_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0120,Источники информации/Журналы/Цветные металлы/2003/10_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0121,Источники информации/Журналы/Цветные металлы/2003/11_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0122,Источники информации/Журналы/Цветные металлы/2003/12_2003_cm.pdf,pdf,Журналы,background,candidate
SRC0123,Источники информации/Журналы/Цветные металлы/2004/01_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0124,Источники информации/Журналы/Цветные металлы/2004/02_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0125,Источники информации/Журналы/Цветные металлы/2004/03_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0126,Источники информации/Журналы/Цветные металлы/2004/04_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0127,Источники информации/Журналы/Цветные металлы/2004/05_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0128,Источники информации/Журналы/Цветные металлы/2004/06_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0129,Источники информации/Журналы/Цветные металлы/2004/07_2004_cm-непрерывное конвертирование.pdf,pdf,Журналы,background,candidate
SRC0130,Источники информации/Журналы/Цветные металлы/2004/08_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0131,Источники информации/Журналы/Цветные металлы/2004/09_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0132,Источники информации/Журналы/Цветные металлы/2004/10_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0133,Источники информации/Журналы/Цветные металлы/2004/11_2004_cm.pdf,pdf,Журналы,background,candidate
SRC0134,Источники информации/Журналы/Цветные металлы/2004/12_2004_cm-гипроникель.pdf,pdf,Журналы,background,candidate
SRC0135,Источники информации/Журналы/Цветные металлы/2005-2/01_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0136,Источники информации/Журналы/Цветные металлы/2005-2/02_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0137,Источники информации/Журналы/Цветные металлы/2005-2/03_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0138,Источники информации/Журналы/Цветные металлы/2005-2/04_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0139,Источники информации/Журналы/Цветные металлы/2005-2/05-06_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0140,Источники информации/Журналы/Цветные металлы/2005-2/07_2005_Cm.pdf,pdf,Журналы,background,candidate
SRC0141,Источники информации/Журналы/Цветные металлы/2005-2/08_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0142,Источники информации/Журналы/Цветные металлы/2005-2/09_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0143,Источники информации/Журналы/Цветные металлы/2005-2/10_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0144,Источники информации/Журналы/Цветные металлы/2005-2/11_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0145,Источники информации/Журналы/Цветные металлы/2005-2/12_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0146,Источники информации/Журналы/Цветные металлы/2005-2/CM_05_05_BAZ_PDF.pdf,pdf,Журналы,background,candidate
SRC0147,Источники информации/Журналы/Цветные металлы/2005-2/CM_05_kazahmys.pdf,pdf,Журналы,background,candidate
SRC0148,Источники информации/Журналы/Цветные металлы/2005-2/CM_10_2005sp.pdf,pdf,Журналы,background,candidate
SRC0149,Источники информации/Журналы/Цветные металлы/2005-2/Cm_Se_10_2005.pdf,pdf,Журналы,background,candidate
SRC0150,Источники информации/Журналы/Цветные металлы/2005-2/Инструкция.doc.lnk.doc,doc,Журналы,background,candidate
SRC0151,Источники информации/Журналы/Цветные металлы/2005/01_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0152,Источники информации/Журналы/Цветные металлы/2005/02_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0153,Источники информации/Журналы/Цветные металлы/2005/03_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0154,Источники информации/Журналы/Цветные металлы/2005/04_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0155,Источники информации/Журналы/Цветные металлы/2005/05-06_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0156,Источники информации/Журналы/Цветные металлы/2005/07_2005_Cm.pdf,pdf,Журналы,background,candidate
SRC0157,Источники информации/Журналы/Цветные металлы/2005/08_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0158,Источники информации/Журналы/Цветные металлы/2005/09_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0159,Источники информации/Журналы/Цветные металлы/2005/10_2005_CM.pdf,pdf,Журналы,background,candidate
SRC0160,Источники информации/Журналы/Цветные металлы/2005/11_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0161,Источники информации/Журналы/Цветные металлы/2005/12_2005_cm.pdf,pdf,Журналы,background,candidate
SRC0162,Источники информации/Журналы/Цветные металлы/2005/CM_05_05_BAZ_PDF.pdf,pdf,Журналы,background,candidate
SRC0163,Источники информации/Журналы/Цветные металлы/2005/CM_05_kazahmys-пв.pdf,pdf,Журналы,background,candidate
SRC0164,Источники информации/Журналы/Цветные металлы/2005/CM_10_2005sp.pdf,pdf,Журналы,background,candidate
SRC0165,Источники информации/Журналы/Цветные металлы/2005/Cm_Se_10_2005.pdf,pdf,Журналы,background,candidate
SRC0166,Источники информации/Журналы/Цветные металлы/2006/CM_01_2006.pdf,pdf,Журналы,background,candidate
SRC0167,Источники информации/Журналы/Цветные металлы/2006/CM_02_2006.pdf,pdf,Журналы,background,candidate
SRC0168,Источники информации/Журналы/Цветные металлы/2006/CM_03_2006.pdf,pdf,Журналы,background,candidate
SRC0169,Источники информации/Журналы/Цветные металлы/2006/CM_04_2006-про берилий.pdf,pdf,Журналы,background,candidate
SRC0170,Источники информации/Журналы/Цветные металлы/2006/CM_05_2006-распредиление примесей при плавке в печах ванюкова.pdf,pdf,Журналы,background,candidate
SRC0171,Источники информации/Журналы/Цветные металлы/2006/CM_06_2006.pdf,pdf,Журналы,background,candidate
SRC0172,Источники информации/Журналы/Цветные металлы/2006/CM_07_2006-влияние CaO на барботирование.pdf,pdf,Журналы,background,candidate
SRC0173,Источники информации/Журналы/Цветные металлы/2006/CM_08_2006.pdf,pdf,Журналы,background,candidate
SRC0174,Источники информации/Журналы/Цветные металлы/2006/CM_09_200-Сu-Ni  при окислении.pdf,pdf,Журналы,background,candidate
SRC0175,Источники информации/Журналы/Цветные металлы/2006/CM_10_2006-наша группаЭП-03.pdf,pdf,Журналы,background,candidate
SRC0176,Источники информации/Журналы/Цветные металлы/2006/CM_11_2006-обеднение.pdf,pdf,Журналы,background,candidate
SRC0177,Источники информации/Журналы/Цветные металлы/2006/CM_12_2006.pdf,pdf,Журналы,background,candidate
SRC0178,Источники информации/Журналы/Цветные металлы/2007/CM-10_2007.pdf,pdf,Журналы,background,candidate
SRC0179,Источники информации/Журналы/Цветные металлы/2007/CM_01_2007.pdf,pdf,Журналы,background,candidate
SRC0180,Источники информации/Журналы/Цветные металлы/2007/CM_02_2007.pdf,pdf,Журналы,background,candidate
SRC0181,Источники информации/Журналы/Цветные металлы/2007/CM_03_2007.pdf,pdf,Журналы,background,candidate
SRC0182,Источники информации/Журналы/Цветные металлы/2007/CM_04_2007.pdf,pdf,Журналы,background,candidate
SRC0183,Источники информации/Журналы/Цветные металлы/2007/CM_05_2007.pdf,pdf,Журналы,background,candidate
SRC0184,Источники информации/Журналы/Цветные металлы/2007/CM_06_2007.pdf,pdf,Журналы,background,candidate
SRC0185,Источники информации/Журналы/Цветные металлы/2007/CM_07_2007.pdf,pdf,Журналы,background,candidate
SRC0186,Источники информации/Журналы/Цветные металлы/2007/CM_08_2007.PDF,pdf,Журналы,background,candidate
SRC0187,Источники информации/Журналы/Цветные металлы/2007/CM_09_2007.pdf,pdf,Журналы,background,candidate
SRC0188,Источники информации/Журналы/Цветные металлы/2007/CM_11_2007.pdf,pdf,Журналы,background,candidate
SRC0189,Источники информации/Журналы/Цветные металлы/2007/CM_12_2007.pdf,pdf,Журналы,background,candidate
SRC0190,Источники информации/Журналы/Цветные металлы/2008/CM_01_2008.pdf,pdf,Журналы,background,candidate
SRC0191,Источники информации/Журналы/Цветные металлы/2008/CM_02_2008.pdf,pdf,Журналы,background,candidate
SRC0192,Источники информации/Журналы/Цветные металлы/2008/CM_03_2008.pdf,pdf,Журналы,background,candidate
SRC0193,Источники информации/Журналы/Цветные металлы/2008/CM_04_2008.pdf,pdf,Журналы,background,candidate
SRC0194,Источники информации/Журналы/Цветные металлы/2008/CM_05_2008.pdf,pdf,Журналы,background,candidate
SRC0195,Источники информации/Журналы/Цветные металлы/2008/CM_11_2008.pdf,pdf,Журналы,background,candidate
SRC0196,Источники информации/Журналы/Цветные металлы/2008/CM_12_2008.pdf,pdf,Журналы,background,candidate
SRC0197,Источники информации/Журналы/Цветные металлы/2009/CM_01_09.pdf,pdf,Журналы,background,candidate
SRC0198,Источники информации/Журналы/Цветные металлы/2009/CM_02_09.pdf,pdf,Журналы,background,candidate
SRC0199,Источники информации/Журналы/Цветные металлы/2009/CM_03_09.pdf,pdf,Журналы,background,candidate
SRC0200,Источники информации/Журналы/Цветные металлы/2009/CM_04_09.pdf,pdf,Журналы,background,candidate
SRC0201,Источники информации/Журналы/Цветные металлы/2009/CM_06_09.pdf,pdf,Журналы,background,candidate
SRC0202,Источники информации/Журналы/Цветные металлы/2009/CM_07_09.pdf,pdf,Журналы,background,candidate
SRC0203,Источники информации/Журналы/Цветные металлы/2009/CM_08_09.pdf,pdf,Журналы,background,candidate
SRC0204,Источники информации/Журналы/Цветные металлы/2009/CM_09_09.pdf,pdf,Журналы,background,candidate
SRC0205,Источники информации/Журналы/Цветные металлы/2009/CM_10_09.pdf,pdf,Журналы,background,candidate
SRC0206,Источники информации/Журналы/Цветные металлы/2009/CM_12_09.pdf,pdf,Журналы,background,candidate
SRC0207,Источники информации/Журналы/Цветные металлы/2010/CM_01_10.pdf,pdf,Журналы,background,candidate
SRC0208,Источники информации/Журналы/Цветные металлы/2010/CM_02_SP_10.pdf,pdf,Журналы,background,candidate
SRC0209,Источники информации/Журналы/Цветные металлы/2010/CM_03_10.pdf,pdf,Журналы,background,candidate
SRC0210,Источники информации/Журналы/Цветные металлы/2010/CM_04_10.pdf,pdf,Журналы,background,candidate
SRC0211,Источники информации/Журналы/Цветные металлы/2010/CM_05_10.pdf,pdf,Журналы,background,candidate
